"_id","_index","_score","_type","书名","作者","出版日期","出版社","售价","译者","链接"
mNJKc3EBZhrcTXFrEOPF,"douban_book_top250",0,"_doc","万水千山走遍","三毛","2003-08","哈尔滨出版社","13.80","-","https://book.douban.com/subject/1036490/"
mdJKc3EBZhrcTXFrEOPa,"douban_book_top250",0,"_doc","送你一颗子弹","刘瑜","2010-1","上海三联书店","25.00元","-","https://book.douban.com/subject/4238362/"
mtJKc3EBZhrcTXFrEOPw,"douban_book_top250",0,"_doc","我也有一个梦想:近距离看美国之三","林达","2004-08","生活·读书·新知三联书店","25.00元","-","https://book.douban.com/subject/1014825/"
m9JKc3EBZhrcTXFrEeME,"douban_book_top250",0,"_doc","浮生六记","（清）沈复","1999-1","人民文学出版社","5.70元","-","https://book.douban.com/subject/1088581/"
nNJKc3EBZhrcTXFrEeMa,"douban_book_top250",0,"_doc","目送","龙应台","2009-10","生活·读书·新知三联书店","39.00元","-","https://book.douban.com/subject/3995526/"
ndJKc3EBZhrcTXFrEeMv,"douban_book_top250",0,"_doc","亲爱的安德烈","龙应台","2008-12","人民文学出版社","26.00","-","https://book.douban.com/subject/3369793/"
ntJKc3EBZhrcTXFrEeNF,"douban_book_top250",0,"_doc","情书","[日] 岩井俊二","2004-7","天津人民出版社","18.00元","穆晓芳","https://book.douban.com/subject/1080370/"
n9JKc3EBZhrcTXFrEeNa,"douban_book_top250",0,"_doc","野火集:二十年纪念版","龙应台","2005-8","文汇出版社","25.00元","-","https://book.douban.com/subject/1426971/"
oNJKc3EBZhrcTXFrEeNv,"douban_book_top250",0,"_doc","昨日的世界:一个欧洲人的回忆","[奥] 斯蒂芬·茨威格","2004-5-1","广西师范大学出版社","32.00元","舒昌善","https://book.douban.com/subject/1062343/"
odJKc3EBZhrcTXFrEeOG,"douban_book_top250",0,"_doc","球状闪电","刘慈欣","2005-6","四川科学技术出版社","22.00元","-","https://book.douban.com/subject/1192090/"
otJKc3EBZhrcTXFrEeOd,"douban_book_top250",0,"_doc","经济学原理（上下）","[美] 曼昆","2003-8","机械工业出版社","88.00元","梁小民","https://book.douban.com/subject/1028842/"
o9JKc3EBZhrcTXFrEeOz,"douban_book_top250",0,"_doc","倾城之恋","张爱玲","2006-12","北京十月文艺出版社","29.80元","-","https://book.douban.com/subject/1985223/"
pNJKc3EBZhrcTXFrEePW,"douban_book_top250",0,"_doc","离开的，留下的:那不勒斯四部曲-03","[意] 埃莱娜·费兰特","2017-10","人民文学出版社","62.00","陈英","https://book.douban.com/subject/27104959/"
pdJKc3EBZhrcTXFrEePy,"douban_book_top250",0,"_doc","绿毛水怪","王小波","2009-1","时代文艺出版社","30.00元","-","https://book.douban.com/subject/3518332/"
ptJKc3EBZhrcTXFrEuMI,"douban_book_top250",0,"_doc","孽子","白先勇","2010.10","广西师范大学出版社","46.00元","-","https://book.douban.com/subject/5337254/"
p9JKc3EBZhrcTXFrEuMb,"douban_book_top250",0,"_doc","解忧杂货店","[日] 东野圭吾","2014-5","南海出版公司","39.50元","李盈春","https://book.douban.com/subject/25862578/"
qNJKc3EBZhrcTXFrEuMx,"douban_book_top250",0,"_doc","亮剑","都梁","2005-3","解放军文艺出版社","28.00元","-","https://book.douban.com/subject/1088022/"
qdJKc3EBZhrcTXFrEuNH,"douban_book_top250",0,"_doc","面纱","(英)W.萨默塞特·毛姆","2012-05-01","重庆","32.00元","阮景林","https://book.douban.com/subject/10560798/"
qtJKc3EBZhrcTXFrEuNc,"douban_book_top250",0,"_doc","不能承受的生命之轻:中文全译本百万纪念版","米兰·昆德拉","2010-8","上海译文出版社","29.00元","许钧","https://book.douban.com/subject/4920007/"
q9JKc3EBZhrcTXFrEuN5,"douban_book_top250",0,"_doc","银河系漫游指南","[英] 道格拉斯·亚当斯","2005-6","四川科学技术出版社","16.00元","徐百柯","https://book.douban.com/subject/1394364/"
rNJKc3EBZhrcTXFrEuOO,"douban_book_top250",0,"_doc","渴望生活:梵高传","[美] 欧文·斯通","2008-4","北京十月文艺出版社","29.80元","常涛","https://book.douban.com/subject/3054821/"
rdJKc3EBZhrcTXFrEuOl,"douban_book_top250",0,"_doc","古文观止","吴楚材","1987-1-1","中华书局","21.00元","-","https://book.douban.com/subject/1014561/"
rtJKc3EBZhrcTXFrEuPD,"douban_book_top250",0,"_doc","温柔的夜","三毛","2007-5","北京十月文艺出版社","28.00元","-","https://book.douban.com/subject/2068249/"
r9JKc3EBZhrcTXFrEuPZ,"douban_book_top250",0,"_doc","激荡三十年:中国企业1978-2008（珍藏图文版）","吴晓波","2008-7-1","中信出版社","32.00元","-","https://book.douban.com/subject/3151575/"
sNJKc3EBZhrcTXFrEuPv,"douban_book_top250",0,"_doc","我的阿勒泰","李娟","2010-7-1","云南人民出版社","22.00元","-","https://book.douban.com/subject/4884218/"
"sdJKc3EBZhrcTXFrE-ME","douban_book_top250",0,"_doc","麦琪的礼物:欧·亨利短篇小说经典","[美] 欧·亨利","2003-7","上海社会科学院出版社","25.00元","张经浩","https://book.douban.com/subject/1051193/"
"stJKc3EBZhrcTXFrE-MY","douban_book_top250",0,"_doc","枪炮、病菌与钢铁:人类社会的命运","[美] 贾雷德·戴蒙德","2006-4-1","上海世纪出版集团","45.00元","谢延光","https://book.douban.com/subject/1813841/"
"s9JKc3EBZhrcTXFrE-Mu","douban_book_top250",0,"_doc","半生缘","张爱玲","2006-12","北京十月文艺出版社","28.00元","-","https://book.douban.com/subject/1963684/"
"tNJKc3EBZhrcTXFrE-ND","douban_book_top250",0,"_doc","阿勒泰的角落","李娟","2010-6","万卷出版公司","25.00元","-","https://book.douban.com/subject/4881850/"
